"","qKO_rep1","qKO_rep2","qKO_rep3","WT_rep1","WT_rep2","WT_rep3"
"ENSMUSG00000101754.2",0,0,0,0,0,0
"ENSMUSG00000065223.1",0,0,0,0,0,0
"ENSMUSG00000100318.2",2,0,0,0,0,0
"ENSMUSG00000101612.2",6,0,0,0,2,2
"ENSMUSG00000065260.1",0,0,0,0,0,0
"ENSMUSG00000026134.11",2304,2228,1662,1788,2118,1606
"ENSMUSG00000101682.1",0,2,0,2,0,2
"ENSMUSG00000102714.1",0,4,0,10,0,0
"ENSMUSG00000102093.1",0,0,0,2,0,0
"ENSMUSG00000103746.1",4,2,6,4,2,2
"ENSMUSG00000102198.1",0,0,0,0,0,0
"ENSMUSG00000004768.14",2388,2674,2142,2008,2280,1556
"ENSMUSG00000042215.8",73,86,43,63,43,46
"ENSMUSG00000103072.1",9,2,1,7,7,2
"ENSMUSG00000042197.13",2738,3420,3064,3300,3394,2568
"ENSMUSG00000081402.4",6,10,0,24,10,2
"ENSMUSG00000042182.16",14,30,16,18,12,34
"ENSMUSG00000104416.1",0,0,0,0,0,0
"ENSMUSG00000026131.20",38014,34558,29764,29550,35859,12164
"ENSMUSG00000103596.1",0,12,14,2,4,6
"ENSMUSG00000099382.1",0,0,0,0,0,0
"ENSMUSG00000084506.1",0,0,0,0,0,0
"ENSMUSG00000103364.1",12,26,28,22,18,44
"ENSMUSG00000105982.1",0,0,0,0,0,0
"ENSMUSG00000096992.3",294,294,261,327,316,82
"ENSMUSG00000103001.1",462,362,357,325,393,176
"ENSMUSG00000104397.1",0,0,0,0,0,0
"ENSMUSG00000102839.1",0,0,0,0,0,0
"ENSMUSG00000101206.1",0,0,0,0,0,0
"ENSMUSG00000101462.2",0,0,0,2,14,6
"ENSMUSG00000102336.1",4,10,0,0,4,4
"ENSMUSG00000092852.1",0,0,0,0,0,0
"ENSMUSG00000042111.9",1194,1154,1428,1530,1900,1532
"ENSMUSG00000101711.1",264,305,394,382,448,481
"ENSMUSG00000026127.13",4394,4407,6102,5496,6878,5847
"ENSMUSG00000026126.15",41,50,9,11,34,10
"ENSMUSG00000100280.2",23,22,7,13,0,4
"ENSMUSG00000101223.6",0,0,0,0,0,0
"ENSMUSG00000026125.9",2,4,0,0,0,0
"ENSMUSG00000101116.1",0,0,0,0,0,0
"ENSMUSG00000026124.4",4,6,6,3,17,4
"ENSMUSG00000101803.1",0,0,0,0,0,0
"ENSMUSG00000037529.13",2,8,6,3,7,2
"ENSMUSG00000045815.4",0,0,0,0,0,0
"ENSMUSG00000045174.10",4,2,0,0,0,8
"ENSMUSG00000100524.1",0,0,0,0,0,0
"ENSMUSG00000102499.1",0,0,0,0,0,0
"ENSMUSG00000103521.1",0,0,0,0,0,0
"ENSMUSG00000104098.1",0,0,0,0,0,0
"ENSMUSG00000037509.21",276,304,184,156,255,160
"ENSMUSG00000102537.1",0,0,0,0,0,0
"ENSMUSG00000102612.1",0,0,0,0,0,0
"ENSMUSG00000118272.1",0,0,0,0,0,0
"ENSMUSG00000104002.2",113,114,74,67,98,76
"ENSMUSG00000037503.12",5369,6078,6264,6336,7709,4814
